Q,A,label
밥 먹을 사람?,저요!,0
밥 먹을래?,나!,0
밖에서 밥 먹을래?,그래~,0
나랑 밥 먹어줘,오키오키!,0
밥먹었어?,아니 아직..,0
밥먹자,오늘은 안돼,0
밥 먹을 사람,난 패스~,0
밥먹을사람,나 선약있어,0
밥 드실 분?,저요,0
점심 먹을 사람,난 패스,0
저녁 먹을 사람,저요~,0
나가서 저녁 먹을 사람?,난 저녁에 일있어,0
저녁드실분~,저요~,0
밥먹을사람~,나나,0
저녁 안먹은 사람,저요,0
뭐 먹을래,글쎄,0
점심 나가서 먹을 사람?,저요!,0
학식 먹을 사람,저요저요,0
긱식 먹을 사람?,난 패스~,0
언제 끝나?,곧 끝남!,0
언제 와?,좀 이따가 출발~,0
내일 언제 와?,잘 모르겠음..,0
오늘 언제 와?,곧 출발!,0
오늘 언제 올 거야?,한 시간 뒤에!,0
오늘 언제쯤 끝나?,곧 끝나,0
언제쯤 끝날 것 같니,좀 걸릴 듯…,0
곧 끝나?,좀 걸려,0
끝났어?,아니 아직,0
내일 와?,응응,0
과제 끝났어?,아니 하는 중,0
과제는 끝났어?,응 끝났음.,0
미팅 끝났어?,응 끝!,0
조모임 끝났어?,응응 끝~,0
랩미팅 끝났어?,아니 아직..,0
끝나고 올 수 있어?,응 가능~,0
내일 올 거야?,응 가야지..,0
언제 끝날 것 같아?,곧 끝날 듯?,0
언제 도착할 것 같아?,잠시 후 도착~,0
언제 올 예정?,좀 이따가 도착!,0
내일 시간 되나요?,네 가능합니다!,0
오늘 가능한가요?,네 가능합니다!,0
내일 1시에 시간 되나요?,안 될 것 같습니다.,0
잠시 후에 시간 되나요?,넵넵!,0
잠시 후 괜찮은가요?,네 괜찮습니다!,0
내일 시간 괜찮은가요?,네 괜찮습니다!,0
오후 시간 가능한가요?,네 알겠습니다!,0